x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
391.5;389.5;649.5;654.5;6.900000095367432;6.599999904632568;0.0;0.0
210.5;208.5;649.5;653.5;6.900000095367432;6.599999904632568;0.0;0.0
436.5;434.5;649.5;654.5;6.199999809265137;6.900000095367432;0.0;0.0
255.5;253.5;649.5;653.5;6.900000095367432;6.900000095367432;0.0;0.0
346.5;344.5;649.5;654.5;6.900000095367432;6.900000095367432;0.0;0.0
572.5;570.5;650.5;655.5;7.0;6.900000095367432;0.0;0.0
29.5;27.5;648.5;651.5;6.199999809265137;6.199999809265137;0.0;0.0
482.5;480.5;649.5;654.5;6.199999809265137;6.199999809265137;0.0;0.0
75.5;72.5;648.5;652.5;23.0;22.899999618530273;1.0;1.0
301.5;299.5;649.5;653.5;22.899999618530273;22.100000381469727;1.0;1.0
527.5;525.5;650.5;655.5;23.0;23.0;1.0;1.0
