x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
565.5;521.5;755.5;755.5;6.199999809265137;6.599999904632568;0.0;0.0
565.5;566.5;755.5;755.5;6.199999809265137;6.900000095367432;0.0;0.0
294.5;295.5;754.5;755.5;6.900000095367432;6.900000095367432;0.0;0.0
114.5;114.5;753.5;754.5;6.900000095367432;6.900000095367432;0.0;0.0
340.5;340.5;754.5;755.5;7.0;6.900000095367432;0.0;0.0
69.5;24.5;753.5;753.5;6.199999809265137;6.900000095367432;0.0;0.0
159.5;159.5;753.5;754.5;6.900000095367432;6.900000095367432;0.0;0.0
69.5;69.5;753.5;754.5;6.199999809265137;6.900000095367432;0.0;0.0
385.5;385.5;754.5;755.5;6.900000095367432;7.0;0.0;0.0
430.5;431.5;754.5;755.5;22.899999618530273;22.899999618530273;1.0;1.0
204.5;205.5;753.5;754.5;22.899999618530273;21.799999237060547;1.0;1.0
