x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
138.5;140.5;712.5;721.5;6.900000095367432;6.900000095367432;0.0;0.0
183.5;185.5;712.5;721.5;6.199999809265137;6.900000095367432;0.0;0.0
545.5;547.5;714.5;722.5;7.0;6.900000095367432;0.0;0.0
500.5;502.5;714.5;722.5;7.0;6.900000095367432;0.0;0.0
590.5;592.5;714.5;722.5;7.0;6.900000095367432;0.0;0.0
93.5;95.5;712.5;721.5;7.0;6.199999809265137;0.0;0.0
319.5;321.5;713.5;722.5;6.900000095367432;6.199999809265137;0.0;0.0
364.5;366.5;713.5;722.5;6.199999809265137;7.0;0.0;0.0
410.5;411.5;713.5;722.5;6.199999809265137;7.0;0.0;0.0
48.5;50.5;711.5;720.5;6.900000095367432;6.199999809265137;0.0;0.0
274.5;276.5;713.5;721.5;7.0;6.199999809265137;0.0;0.0
455.5;457.5;714.5;722.5;23.0;23.0;1.0;1.0
229.5;230.5;712.5;721.5;22.100000381469727;23.0;1.0;1.0
