x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
341.5;340.5;754.5;760.5;7.0;6.599999904632568;0.0;0.0
115.5;24.5;753.5;758.5;6.900000095367432;6.599999904632568;0.0;0.0
115.5;69.5;753.5;758.5;6.900000095367432;6.900000095367432;0.0;0.0
115.5;114.5;753.5;759.5;6.900000095367432;6.900000095367432;0.0;0.0
160.5;159.5;753.5;759.5;6.900000095367432;6.900000095367432;0.0;0.0
386.5;385.5;754.5;760.5;6.900000095367432;6.900000095367432;0.0;0.0
566.5;566.5;755.5;761.5;6.199999809265137;6.900000095367432;0.0;0.0
295.5;295.5;754.5;760.5;6.900000095367432;6.900000095367432;0.0;0.0
521.5;521.5;755.5;761.5;6.900000095367432;6.900000095367432;0.0;0.0
250.5;250.5;754.5;760.5;6.900000095367432;6.900000095367432;0.0;0.0
521.5;476.5;755.5;760.5;6.900000095367432;6.199999809265137;0.0;0.0
205.5;204.5;754.5;759.5;21.799999237060547;21.799999237060547;1.0;1.0
431.5;430.5;754.5;760.5;21.799999237060547;21.799999237060547;1.0;1.0
