x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
409.5;410.5;650.5;650.5;6.900000095367432;6.900000095367432;0.0;0.0
454.5;455.5;650.5;650.5;6.199999809265137;6.900000095367432;0.0;0.0
545.5;546.5;651.5;650.5;6.199999809265137;6.900000095367432;0.0;0.0
364.5;365.5;650.5;650.5;6.900000095367432;6.900000095367432;0.0;0.0
92.5;93.5;649.5;604.5;7.0;6.900000095367432;0.0;0.0
228.5;229.5;650.5;650.5;6.900000095367432;6.900000095367432;0.0;0.0
92.5;93.5;649.5;649.5;7.0;6.900000095367432;0.0;0.0
138.5;139.5;649.5;649.5;6.199999809265137;6.199999809265137;0.0;0.0
319.5;320.5;650.5;650.5;7.0;7.0;0.0;0.0
228.5;184.5;650.5;650.5;6.900000095367432;7.0;0.0;0.0
47.5;48.5;649.5;649.5;22.799999237060547;22.899999618530273;1.0;1.0
273.5;274.5;650.5;650.5;23.0;23.0;1.0;1.0
499.5;501.5;651.5;650.5;22.100000381469727;23.0;1.0;1.0
47.5;48.5;649.5;423.5;22.799999237060547;22.5;1.0;1.0
