x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
223.5;221.5;614.5;614.5;7.0;6.900000095367432;0.0;0.0
42.5;40.5;613.5;613.5;7.0;6.900000095367432;0.0;0.0
539.5;538.5;615.5;616.5;6.199999809265137;6.900000095367432;0.0;0.0
87.5;85.5;613.5;613.5;6.900000095367432;6.900000095367432;0.0;0.0
177.5;176.5;614.5;614.5;6.199999809265137;7.0;0.0;0.0
404.5;402.5;615.5;615.5;7.0;7.0;0.0;0.0
494.5;493.5;615.5;616.5;6.900000095367432;7.0;0.0;0.0
313.5;312.5;614.5;615.5;6.199999809265137;6.199999809265137;0.0;0.0
268.5;266.5;614.5;614.5;6.900000095367432;6.199999809265137;0.0;0.0
449.5;447.5;615.5;616.5;6.900000095367432;6.199999809265137;0.0;0.0
358.5;357.5;615.5;615.5;22.100000381469727;22.899999618530273;1.0;1.0
132.5;130.5;613.5;614.5;22.100000381469727;22.100000381469727;1.0;1.0
585.5;583.5;616.5;616.5;22.100000381469727;23.0;1.0;1.0
