x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
346.5;344.5;649.5;653.5;6.900000095367432;6.900000095367432;0.0;0.0
165.5;163.5;648.5;652.5;6.599999904632568;6.900000095367432;0.0;0.0
572.5;570.5;649.5;654.5;6.900000095367432;6.900000095367432;0.0;0.0
255.5;253.5;648.5;653.5;6.199999809265137;6.900000095367432;0.0;0.0
437.5;434.5;649.5;654.5;7.0;6.900000095367432;0.0;0.0
210.5;208.5;648.5;652.5;6.900000095367432;6.900000095367432;0.0;0.0
30.5;27.5;647.5;651.5;6.900000095367432;6.900000095367432;0.0;0.0
120.5;118.5;648.5;652.5;6.900000095367432;6.900000095367432;0.0;0.0
482.5;480.5;649.5;654.5;6.900000095367432;7.0;0.0;0.0
391.5;389.5;649.5;654.5;6.900000095367432;7.0;0.0;0.0
75.5;73.5;648.5;651.5;22.100000381469727;22.100000381469727;1.0;1.0
301.5;299.5;649.5;653.5;23.0;23.0;1.0;1.0
527.5;525.5;649.5;654.5;22.700000762939453;23.0;1.0;1.0
