x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
294.5;294.5;754.5;758.5;6.900000095367432;6.599999904632568;0.0;0.0
475.5;475.5;755.5;759.5;6.900000095367432;6.900000095367432;0.0;0.0
520.5;565.5;755.5;759.5;6.900000095367432;6.900000095367432;0.0;0.0
520.5;520.5;755.5;759.5;6.900000095367432;6.900000095367432;0.0;0.0
24.5;23.5;752.5;756.5;6.900000095367432;6.900000095367432;0.0;0.0
249.5;249.5;754.5;758.5;6.900000095367432;6.900000095367432;0.0;0.0
294.5;339.5;754.5;758.5;6.900000095367432;6.900000095367432;0.0;0.0
24.5;68.5;752.5;757.5;6.900000095367432;6.900000095367432;0.0;0.0
114.5;113.5;753.5;757.5;6.900000095367432;6.900000095367432;0.0;0.0
159.5;158.5;753.5;757.5;6.900000095367432;6.199999809265137;0.0;0.0
385.5;384.5;754.5;758.5;6.900000095367432;6.199999809265137;0.0;0.0
204.5;204.5;753.5;758.5;21.799999237060547;21.799999237060547;1.0;1.0
430.5;430.5;755.5;759.5;21.799999237060547;21.799999237060547;1.0;1.0
