x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
158.5;114.5;753.5;752.5;6.900000095367432;6.900000095367432;0.0;0.0
249.5;249.5;753.5;753.5;6.199999809265137;6.900000095367432;0.0;0.0
339.5;340.5;754.5;753.5;6.900000095367432;6.900000095367432;0.0;0.0
384.5;385.5;754.5;753.5;6.900000095367432;6.900000095367432;0.0;0.0
68.5;69.5;752.5;752.5;6.900000095367432;6.900000095367432;0.0;0.0
23.5;24.5;752.5;752.5;6.900000095367432;6.900000095367432;0.0;0.0
475.5;475.5;754.5;754.5;6.900000095367432;6.199999809265137;0.0;0.0
565.5;566.5;754.5;754.5;6.900000095367432;7.400000095367432;0.0;0.0
294.5;295.5;754.5;753.5;7.0;7.0;0.0;0.0
520.5;521.5;754.5;754.5;6.900000095367432;6.199999809265137;0.0;0.0
158.5;159.5;753.5;753.5;6.900000095367432;7.0;0.0;0.0
203.5;204.5;753.5;753.5;23.0;22.899999618530273;1.0;1.0
429.5;430.5;754.5;753.5;23.0;23.0;1.0;1.0
