x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
482.5;479.5;649.5;658.5;6.900000095367432;6.599999904632568;0.0;0.0
346.5;343.5;649.5;657.5;6.599999904632568;6.900000095367432;0.0;0.0
165.5;162.5;648.5;656.5;6.900000095367432;6.900000095367432;0.0;0.0
437.5;434.5;649.5;658.5;6.199999809265137;6.900000095367432;0.0;0.0
29.5;27.5;648.5;655.5;6.199999809265137;6.900000095367432;0.0;0.0
572.5;569.5;650.5;658.5;7.0;6.900000095367432;0.0;0.0
165.5;207.5;648.5;656.5;6.900000095367432;6.900000095367432;0.0;0.0
255.5;253.5;649.5;657.5;7.0;6.199999809265137;0.0;0.0
391.5;388.5;649.5;657.5;6.900000095367432;6.199999809265137;0.0;0.0
120.5;117.5;648.5;656.5;6.900000095367432;7.0;0.0;0.0
301.5;298.5;649.5;657.5;23.0;22.700000762939453;1.0;1.0
527.5;524.5;649.5;658.5;23.0;22.700000762939453;1.0;1.0
75.5;72.5;648.5;655.5;23.0;22.700000762939453;1.0;1.0
