x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
510.5;510.5;613.5;615.5;6.900000095367432;6.900000095367432;0.0;0.0
12.5;12.5;611.5;613.5;6.199999809265137;6.900000095367432;0.0;0.0
284.5;284.5;612.5;614.5;7.0;6.900000095367432;0.0;0.0
193.5;193.5;612.5;614.5;7.0;6.900000095367432;0.0;0.0
465.5;465.5;613.5;615.5;6.199999809265137;6.900000095367432;0.0;0.0
57.5;57.5;611.5;613.5;7.0;6.199999809265137;0.0;0.0
374.5;374.5;612.5;614.5;6.199999809265137;6.199999809265137;0.0;0.0
238.5;238.5;612.5;614.5;6.199999809265137;6.0;0.0;0.0
148.5;148.5;611.5;614.5;7.0;7.0;0.0;0.0
420.5;420.5;613.5;615.5;6.199999809265137;6.199999809265137;0.0;0.0
329.5;329.5;612.5;614.5;22.899999618530273;23.0;1.0;1.0
555.5;555.5;613.5;615.5;22.899999618530273;23.0;1.0;1.0
103.5;103.5;611.5;613.5;23.0;23.0;1.0;1.0
