x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
170.5;170.5;726.5;728.5;6.900000095367432;6.900000095367432;0.0;0.0
351.5;351.5;727.5;729.5;6.900000095367432;6.900000095367432;0.0;0.0
396.5;396.5;727.5;729.5;6.900000095367432;7.0;0.0;0.0
79.5;80.5;725.5;727.5;6.199999809265137;6.199999809265137;0.0;0.0
306.5;306.5;727.5;729.5;6.199999809265137;6.199999809265137;0.0;0.0
125.5;125.5;726.5;728.5;6.199999809265137;7.0;0.0;0.0
577.5;577.5;728.5;730.5;6.900000095367432;7.0;0.0;0.0
441.5;442.5;727.5;729.5;6.199999809265137;6.199999809265137;0.0;0.0
532.5;532.5;728.5;730.5;6.199999809265137;6.199999809265137;0.0;0.0
215.5;215.5;726.5;728.5;6.900000095367432;7.0;0.0;0.0
486.5;487.5;728.5;729.5;22.100000381469727;22.100000381469727;1.0;1.0
34.5;34.5;725.5;727.5;23.0;22.100000381469727;1.0;1.0
260.5;261.5;727.5;729.5;22.100000381469727;22.299999237060547;1.0;1.0
