x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
57.5;56.5;611.5;598.5;6.199999809265137;6.900000095367432;0.0;0.0
238.5;237.5;611.5;599.5;6.199999809265137;6.900000095367432;0.0;0.0
419.5;418.5;612.5;600.5;6.900000095367432;6.900000095367432;0.0;0.0
193.5;192.5;611.5;599.5;6.199999809265137;6.900000095367432;0.0;0.0
509.5;509.5;613.5;600.5;6.199999809265137;6.199999809265137;0.0;0.0
283.5;282.5;612.5;599.5;7.0;6.199999809265137;0.0;0.0
374.5;373.5;612.5;600.5;7.0;7.0;0.0;0.0
12.5;11.5;610.5;597.5;6.199999809265137;6.199999809265137;0.0;0.0
464.5;463.5;612.5;600.5;7.0;7.0;0.0;0.0
147.5;147.5;611.5;598.5;6.900000095367432;6.199999809265137;0.0;0.0
555.5;554.5;613.5;600.5;22.100000381469727;22.100000381469727;1.0;1.0
102.5;101.5;611.5;598.5;22.899999618530273;23.0;1.0;1.0
328.5;328.5;612.5;600.5;23.0;22.200000762939453;1.0;1.0
