x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
482.5;481.5;632.5;632.5;7.0;6.599999904632568;0.0;0.0
120.5;119.5;630.5;630.5;7.0;6.900000095367432;0.0;0.0
301.5;300.5;631.5;631.5;6.900000095367432;6.900000095367432;0.0;0.0
437.5;436.5;631.5;632.5;6.199999809265137;6.900000095367432;0.0;0.0
527.5;526.5;632.5;632.5;6.900000095367432;6.900000095367432;0.0;0.0
255.5;255.5;631.5;631.5;6.199999809265137;6.900000095367432;0.0;0.0
346.5;345.5;631.5;631.5;6.599999904632568;6.900000095367432;0.0;0.0
74.5;74.5;630.5;630.5;6.199999809265137;6.199999809265137;0.0;0.0
29.5;29.5;629.5;629.5;6.199999809265137;6.199999809265137;0.0;0.0
572.5;571.5;632.5;633.5;6.900000095367432;6.199999809265137;0.0;0.0
210.5;209.5;630.5;631.5;7.0;6.199999809265137;0.0;0.0
391.5;391.5;631.5;632.5;23.0;22.100000381469727;1.0;1.0
165.5;164.5;630.5;630.5;22.899999618530273;23.0;1.0;1.0
