x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
352.5;350.5;758.5;761.5;7.0;6.900000095367432;0.0;0.0
36.5;34.5;757.5;758.5;6.199999809265137;6.900000095367432;0.0;0.0
81.5;79.5;757.5;759.5;6.900000095367432;6.900000095367432;0.0;0.0
81.5;124.5;757.5;759.5;6.900000095367432;6.900000095367432;0.0;0.0
533.5;531.5;758.5;761.5;6.900000095367432;6.199999809265137;0.0;0.0
488.5;486.5;758.5;761.5;6.900000095367432;6.199999809265137;0.0;0.0
578.5;576.5;758.5;762.5;6.900000095367432;6.199999809265137;0.0;0.0
217.5;214.5;758.5;760.5;7.0;7.0;0.0;0.0
262.5;260.5;758.5;760.5;6.900000095367432;7.0;0.0;0.0
443.5;440.5;758.5;761.5;6.900000095367432;7.0;0.0;0.0
307.5;305.5;758.5;760.5;6.900000095367432;7.0;0.0;0.0
397.5;395.5;758.5;761.5;23.0;22.899999618530273;1.0;1.0
171.5;169.5;758.5;760.5;22.100000381469727;23.0;1.0;1.0
