x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
246.5;245.5;664.5;667.5;6.599999904632568;6.900000095367432;0.0;0.0
382.5;426.5;664.5;668.5;6.900000095367432;6.900000095367432;0.0;0.0
201.5;200.5;664.5;667.5;6.900000095367432;6.900000095367432;0.0;0.0
382.5;381.5;664.5;668.5;6.900000095367432;6.900000095367432;0.0;0.0
472.5;471.5;665.5;668.5;6.900000095367432;6.900000095367432;0.0;0.0
517.5;517.5;665.5;668.5;6.900000095367432;6.900000095367432;0.0;0.0
291.5;290.5;664.5;667.5;6.900000095367432;6.900000095367432;0.0;0.0
20.5;19.5;663.5;665.5;6.599999904632568;6.900000095367432;0.0;0.0
65.5;64.5;663.5;666.5;6.900000095367432;6.900000095367432;0.0;0.0
156.5;155.5;664.5;666.5;6.199999809265137;6.900000095367432;0.0;0.0
563.5;562.5;665.5;668.5;21.799999237060547;22.899999618530273;1.0;1.0
336.5;336.5;664.5;668.5;22.100000381469727;22.100000381469727;1.0;1.0
110.5;110.5;664.5;666.5;22.100000381469727;22.899999618530273;1.0;1.0
