x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
391.5;389.5;649.5;653.5;6.900000095367432;6.900000095367432;0.0;0.0
255.5;253.5;649.5;652.5;6.900000095367432;6.900000095367432;0.0;0.0
436.5;434.5;649.5;653.5;6.900000095367432;6.900000095367432;0.0;0.0
210.5;208.5;649.5;652.5;6.199999809265137;6.900000095367432;0.0;0.0
29.5;27.5;648.5;651.5;6.900000095367432;6.900000095367432;0.0;0.0
346.5;344.5;649.5;653.5;7.0;6.900000095367432;0.0;0.0
119.5;117.5;648.5;651.5;6.900000095367432;6.199999809265137;0.0;0.0
481.5;479.5;649.5;653.5;6.900000095367432;6.199999809265137;0.0;0.0
164.5;163.5;648.5;652.5;6.199999809265137;6.199999809265137;0.0;0.0
572.5;570.5;649.5;654.5;6.199999809265137;6.199999809265137;0.0;0.0
74.5;72.5;648.5;651.5;22.700000762939453;22.700000762939453;1.0;1.0
300.5;298.5;649.5;652.5;22.899999618530273;22.100000381469727;1.0;1.0
526.5;525.5;649.5;654.5;22.100000381469727;22.100000381469727;1.0;1.0
