x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
528.5;526.5;739.5;735.5;7.0;6.900000095367432;0.0;0.0
573.5;571.5;739.5;735.5;6.900000095367432;6.900000095367432;0.0;0.0
76.5;74.5;737.5;732.5;6.199999809265137;6.900000095367432;0.0;0.0
121.5;119.5;737.5;732.5;6.900000095367432;6.900000095367432;0.0;0.0
347.5;345.5;738.5;734.5;6.900000095367432;6.900000095367432;0.0;0.0
392.5;391.5;738.5;734.5;6.900000095367432;6.199999809265137;0.0;0.0
166.5;164.5;737.5;733.5;6.900000095367432;6.199999809265137;0.0;0.0
438.5;436.5;738.5;735.5;6.199999809265137;6.199999809265137;0.0;0.0
211.5;210.5;737.5;733.5;6.199999809265137;6.0;0.0;0.0
302.5;300.5;738.5;734.5;6.900000095367432;7.0;0.0;0.0
483.5;481.5;739.5;735.5;22.100000381469727;22.899999618530273;1.0;1.0
31.5;29.5;736.5;731.5;23.0;22.899999618530273;1.0;1.0
257.5;255.5;738.5;733.5;22.100000381469727;23.0;1.0;1.0
