x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
138.5;137.5;712.5;708.5;6.199999809265137;6.900000095367432;0.0;0.0
590.5;589.5;714.5;711.5;6.199999809265137;6.900000095367432;0.0;0.0
410.5;408.5;714.5;710.5;7.0;6.900000095367432;0.0;0.0
319.5;318.5;713.5;709.5;6.199999809265137;6.199999809265137;0.0;0.0
365.5;363.5;714.5;710.5;6.199999809265137;7.0;0.0;0.0
93.5;92.5;712.5;708.5;6.900000095367432;6.199999809265137;0.0;0.0
274.5;273.5;713.5;709.5;6.900000095367432;6.199999809265137;0.0;0.0
545.5;544.5;714.5;711.5;6.199999809265137;7.0;0.0;0.0
500.5;499.5;714.5;710.5;6.900000095367432;6.199999809265137;0.0;0.0
183.5;182.5;713.5;708.5;6.199999809265137;6.0;0.0;0.0
48.5;47.5;712.5;707.5;7.0;6.199999809265137;0.0;0.0
455.5;453.5;714.5;710.5;22.700000762939453;22.100000381469727;1.0;1.0
229.5;227.5;713.5;709.5;23.0;23.0;1.0;1.0
3.5;2.5;711.5;707.5;22.799999237060547;22.399999618530273;1.0;1.0
